Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MemoryRandomization;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Overhead;Jitting;1;472900;1;472900;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Jitting;1;53056800;1;53056800;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;1;68910100;2;34455050;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;2;101672900;3;33890966.67;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;3;125637000;4;31409250;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;4;153243800;5;30648760;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;5;186219200;6;31036533.33;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;6;229529000;7;32789857.14;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;7;248850300;8;31106287.5;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;8;280028400;9;31114266.67;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;9;321746900;10;32174690;47;10;5;17675968
Net47QuickSortBenchmark.SequentialFunctionalQuickSort;Net47Benchmarking;Net47QuickSortBenchmark;SequentialFunctionalQuickSort;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;.NET Framework 4.7.2(Runtime=.NET Framework 4.7.2);N=10000;1;Workload;Pilot;10;366520600;11;33320054.55;47;10;5;17675968
