Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;N;Mean;Error;StdDev;Median;Gen 0;Gen 1;Gen 2;Allocated
SequentialFunctionalQuickSort;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"23,068.2 μs";434.06 μs;406.02 μs;"22,973.9 μs";1968.7500;656.2500;218.7500;"16,195 KB"
ParallelFunctionalQuickSort;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"62,522.5 μs";"1,207.16 μs";"1,731.28 μs";"62,359.5 μs";2888.8889;666.6667;222.2222;"22,995 KB"
OptimizedParallelFunctionalQuickSort;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"12,211.2 μs";403.56 μs;"1,070.19 μs";"20,010.2 μs";2000.0000;1000.0000;0.0000;"19,849 KB"
SequentialImperativeQuickSort;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;832.9 μs;5.90 μs;5.51 μs;832.3 μs;61.5234;30.2734;0.0000;508 KB
ParallelImperativeQuickSort;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"33,910.3 μs";404.74 μs;378.59 μs;"34,001.3 μs";812.5000;375.0000;0.0000;"6,679 KB"
OptimizedParallelImperativeQuickSort;.NET Core 3.1;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"1,078.7 μs";16.70 μs;15.62 μs;"1,279.3 μs";304.6875;152.3438;0.0000;"2,488 KB"
SequentialFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"31,391.9 μs";125.87 μs;105.11 μs;"31,396.4 μs";2906.2500;593.7500;250.0000;"17,262 KB"
ParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"85,540.0 μs";517.42 μs;432.07 μs;"85,659.6 μs";4500.0000;500.0000;166.6667;"25,892 KB"
OptimizedParallelFunctionalQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;"16,441.5 μs";327.44 μs;290.27 μs;"22,432.9 μs";4000.0000;1000.0000;0.0000;"22,006 KB"
SequentialImperativeQuickSort;.NET Framework 4.7.2;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10000;832.9 μs;4.48 μs;3.97 μs;831.6 μs;83.0078;41.0156;0.0000;509 KB
